feature,importance
cnt_acceleration_24h,0.21485369499663332
cnt_pct_change_1h,0.1727651659324871
cnt_acceleration_1h,0.15876959941726768
cnt_transformed_roll_mean_3h,0.10985387060874904
cnt_pct_change_24h,0.10586202085034176
cnt_transformed_roll_std_3h,0.08264373660794021
cnt_transformed_roll_std_24h,0.03772585603674984
cnt_volatility_24h,0.028333037243831658
cnt_transformed_lag_1h,0.015526784471817451
cnt_cv_24h,0.011467809532625078
cnt_transformed_lag_24h,0.009677006711148696
cnt_historical_avg_raw,0.009130605314932382
cnt_transformed_roll_mean_24h,0.0078610826123204
cnt_vs_historical,0.006331733744717885
cnt_transformed_lag_168h,0.005962944707710786
cnt_transformed_roll_std_72h,0.005040094507436794
temp_wind_interaction,0.002453020244240035
hr,0.0022410305665076413
hr_sin,0.0017583079757159585
cnt_transformed_lag_48h,0.0017423279595980626
