feature,importance
cnt_pct_change_1h,0.20033706402284188
cnt_acceleration_1h,0.14582935123584453
cnt_transformed_lag_1h,0.13652912303439607
cnt_historical_avg_raw,0.10465366442121943
cnt_pct_change_24h,0.08765976955912715
cnt_acceleration_24h,0.08379723947602827
cnt_transformed_roll_mean_3h,0.0356488158371792
cnt_transformed_lag_24h,0.020291721400421348
hr,0.0201994004602729
hr_sin,0.017065473429922182
cnt_transformed_roll_mean_72h,0.014149888917732651
cnt_vs_historical,0.012749398637261837
cnt_transformed_roll_mean_24h,0.011782757271095153
hr_cos,0.011256905884529328
hr_workingday,0.009318808704790014
is_peak_hour,0.008252617308030428
is_commute_window,0.00794354604875217
cnt_transformed_lag_48h,0.007809147052514066
cnt_transformed_lag_72h,0.007384560267580969
cnt_cv_24h,0.007177365471805466
temp_squared,0.00583595885131751
temp,0.0056135325875812485
cnt_volatility_24h,0.005034256307509698
hum,0.004252944666721459
workingday_1.0,0.003941927979015432
temp_season,0.0037927280680889303
yr,0.003049785957905191
temp_hum_interaction,0.002294082636500674
temp_wind_interaction,0.002281180649680618
windspeed,0.0019546514263613906
weathersit_season,0.0019437790333929291
weather_quadrant_calor_seco,0.0017172660863324198
weekday_cos,0.0015915887329231262
mnth,0.001107531086489754
cnt_transformed_lag_168h,0.0010422617601389859
weathersit_3.0,0.0009183214610382549
weekday_sin,0.0008993092375843107
weekday,0.0008352349811121085
mnth_cos,0.0007185536800280533
mnth_sin,0.0003941622341927574
season_2.0,0.0002710442063072298
weather_quadrant_frio_humedo,0.0001852489704458229
weather_quadrant_frio_seco,0.0001229969555370852
is_perfect_weather,0.0001030553448385033
holiday_1.0,8.479632314398639e-05
is_weekend,6.616618523394232e-05
weathersit_2.0,4.743236741909705e-05
season_4.0,3.976291970060508e-05
season_3.0,2.3820862113884776e-05
weathersit_4.0,0.0
