feature,importance
cnt_pct_change_1h,0.2113113396970919
cnt_transformed_lag_1h,0.16910817800160585
cnt_acceleration_1h,0.11144344761569526
cnt_historical_avg_raw,0.10936309167619129
cnt_pct_change_24h,0.09130903596413203
cnt_acceleration_24h,0.08312601166917055
cnt_transformed_roll_mean_3h,0.05422057907174449
hr_sin,0.02777444230727977
cnt_transformed_lag_24h,0.025068442874132093
cnt_vs_historical,0.0205067328323445
hr,0.014337179082322475
cnt_transformed_roll_mean_72h,0.01250982087115216
hr_cos,0.011072747073411689
cnt_transformed_roll_mean_24h,0.006584735464269512
temp_squared,0.005774561308359552
cnt_cv_24h,0.005700451509882371
hr_workingday,0.0037316508213172395
is_peak_hour,0.0037179495296015756
weekday_sin,0.0035611197785170084
temp,0.0035532058361692465
cnt_volatility_24h,0.0032232670590932244
weekday,0.0028437373593874302
yr,0.0027808997863357655
cnt_transformed_lag_48h,0.0027199396255633214
is_commute_window,0.002250819089504881
temp_season,0.001521415796029109
temp_wind_interaction,0.0013094680812805086
hum,0.0011187208928330069
cnt_transformed_lag_72h,0.0010393799534121311
weathersit_season,0.0010250624986152606
weather_quadrant_calor_seco,0.0009851407913790751
weathersit_3.0,0.0009021066547612291
cnt_transformed_lag_168h,0.0006839297886602809
mnth_cos,0.000637491112927621
workingday_1.0,0.0005853179581810687
weekday_cos,0.0005817244389298894
mnth,0.000539362410837297
temp_hum_interaction,0.0004926772485934168
mnth_sin,0.00033706668458671367
windspeed,0.00020191231966220334
season_2.0,0.00010647168859915342
holiday_1.0,8.470935928630007e-05
weather_quadrant_frio_humedo,5.912799504694007e-05
is_perfect_weather,5.421520134026267e-05
is_weekend,4.327210186245697e-05
weathersit_2.0,3.8266818604115614e-05
season_4.0,2.9387162978027604e-05
weather_quadrant_frio_seco,2.413543299949546e-05
season_3.0,6.251704319263805e-06
weathersit_4.0,0.0
