feature,importance
temp_hum_interaction,78.10271562833579
cnt_transformed_lag_72h,72.42291314094543
hum,56.04632017740172
cnt_cv_24h,41.18428795861952
windspeed,32.68965432084939
cnt_transformed_roll_std_72h,32.229176687300885
cnt_vs_historical,19.468939442323617
hr,19.1103876626078
cnt_transformed_roll_mean_3h,18.47096279085459
weekday_sin,15.890628255305007
cnt_pct_change_1h,15.890628255304273
temp_squared,14.70108413963062
cnt_transformed_lag_168h,13.068071500796867
workingday,12.885129910758849
temp,12.69671144051785
cnt_transformed_roll_mean_24h,12.693031665291125
temp_windspeed,12.506547591024828
cnt_acceleration_24h,11.54562651457127
hr_workingday,10.731409775062685
cnt_transformed_roll_std_3h,10.248428905224499
