feature,importance
cnt_transformed_lag_1h,0.10972825
hr,0.09487651
cnt_pct_change_24h,0.07305668
cnt_acceleration_1h,0.07025075
cnt_transformed_roll_mean_3h,0.058189936
cnt_historical_avg_raw,0.05604014
cnt_pct_change_1h,0.04840683
cnt_acceleration_24h,0.042736106
hr_sin,0.041007932
season_2.0,0.029935852
weekday,0.024660124
is_peak_hour,0.02066753
cnt_transformed_lag_48h,0.02021252
cnt_cv_24h,0.020106258
temp_squared,0.019617794
hr_workingday,0.018938513
weather_quadrant_calor_seco,0.018498786
cnt_transformed_lag_168h,0.016762685
cnt_vs_historical,0.016332181
cnt_transformed_lag_24h,0.01606035
temp_hum_interaction,0.015238855
temp_wind_interaction,0.015225749
hr_cos,0.014551147
cnt_transformed_roll_mean_72h,0.01366872
hum,0.012215541
windspeed,0.010217414
cnt_transformed_roll_mean_24h,0.009650284
weekday_cos,0.009467034
cnt_volatility_24h,0.0094269505
cnt_transformed_lag_72h,0.0088612875
weekday_sin,0.007870863
workingday_1.0,0.0075411326
temp,0.0075324043
yr,0.006910289
mnth_cos,0.006877172
weather_quadrant_frio_humedo,0.0055525717
temp_season,0.0045377803
mnth,0.004213965
mnth_sin,0.003846526
weathersit_season,0.0030326967
weathersit_3.0,0.00263541
is_commute_window,0.0019633756
is_weekend,0.0015676519
weathersit_2.0,0.00073560985
holiday_1.0,0.000573821
is_perfect_weather,0.0
season_4.0,0.0
season_3.0,0.0
weathersit_4.0,0.0
weather_quadrant_frio_seco,0.0
