feature,importance
cnt_transformed_lag_72h,0.11262105405330658
cnt_historical_avg_raw,0.11212006211280823
temp_hum_interaction,0.10944991558790207
cnt_acceleration_1h,0.05920540913939476
hr,0.055167436599731445
cnt_cv_24h,0.04335755109786987
cnt_transformed_roll_mean_3h,0.040513016283512115
cnt_transformed_roll_std_24h,0.03933357819914818
cnt_transformed_roll_mean_24h,0.032470278441905975
mnth_cos,0.031397439539432526
cnt_transformed_lag_24h,0.026204492896795273
cnt_acceleration_24h,0.02601945400238037
cnt_volatility_24h,0.025806456804275513
is_commute_window,0.02514035254716873
cnt_transformed_roll_std_3h,0.02267502062022686
cnt_transformed_roll_mean_72h,0.02261672168970108
cnt_transformed_lag_168h,0.020725497975945473
hum,0.019562436267733574
hr_workingday,0.019099155440926552
temp_squared,0.017591560259461403
